"Plate","Col","Row","rep","Plant","Micr","X","nummicr","summicr","season","springmicr","wellid","X","image","plate","column","row","particles","area","perim","mean","circ","AR","round","solidity","r","g","b","sqmm","colsq","numrow","rowsq","pergreen","colint","aggregation","od600","od450","inoc","urep"
1,1,1,1,"ThompsonFarm","TD1","",1,"notsummer","Spr","spring","1_1_1",1,"IMG_2100 3.jpg",1,1,"A",2,2789,296.149,85,0.6615,1.931,0.537,0.9105,96.9915,101.9415,49.8175,1.66712085493633,1,1,1,0.409814251629645,66.6666666666667,9.41755670287592,0.049,0.056,"PlusMicr","ThompsonFarm.1"
1,1,2,1,"ThompsonFarm","TD1","",1,"notsummer","Spr","spring","1_2_1",2,"IMG_2100 3.jpg",1,1,"B",3,8138,616.825,85,0.660666666666667,1.986,0.547333333333333,0.925333333333333,85.883,95.1793333333333,41.93,4.86447813462597,1,2,4,0.426827828161506,66.6666666666667,13.1933692700523,0.054,0.069,"PlusMicr","ThompsonFarm.1"
1,1,3,1,"ThompsonFarm","TD1","",1,"notsummer","Spr","spring","1_3_1",3,"IMG_2100 3.jpg",1,1,"C",1,7654,507.671,85.038,0.373,2.26,0.443,0.817,75.216,87.243,33.743,4.57516781057104,1,3,9,0.444659075850399,66.6517647058824,15.0766933703127,0.064,0.077,"PlusMicr","ThompsonFarm.1"
1,1,4,1,"ThompsonFarm","TD1","",1,"notsummer","Spr","spring","1_4_1",4,"IMG_2100 3.jpg",1,1,"D",1,6543,355.362,85.183,0.651,1.608,0.622,0.912,74.88,86.078,32.761,3.91106911217224,1,4,16,0.444344643530062,66.5949019607843,18.412210647171,0.048,0.056,"PlusMicr","ThompsonFarm.1"
1,1,5,1,"ThompsonFarm","TD1","",1,"notsummer","Spr","spring","1_5_1",5,"IMG_2100 3.jpg",1,1,"E",2,6755,499.387,85,0.6665,2.0415,0.492,0.937,88.387,96.06,43.611,4.03779181609712,1,5,25,0.421208639907392,66.6666666666667,13.5265835914832,0.045,0.052,"PlusMicr","ThompsonFarm.1"
1,1,6,1,"ThompsonFarm","TD1","",1,"notsummer","Spr","spring","1_6_1",6,"IMG_2100 3.jpg",1,1,"F",1,5521,344.475,85.024,0.585,1.824,0.548,0.878,98.708,104.291,43.757,3.30017003947775,1,6,36,0.422648284134935,66.6572549019608,16.0272879018797,0.045,0.051,"PlusMicr","ThompsonFarm.1"
1,1,7,1,"ThompsonFarm","TD1","",1,"notsummer","Spr","spring","1_7_1",7,"IMG_2100 3.jpg",1,1,"G",1,742,189.439,85,0.26,5.538,0.181,0.746,84.627,89.376,43.964,0.443529463737093,1,7,49,0.410043722214831,66.6666666666667,3.91682810825648,0.045,0.05,"PlusMicr","ThompsonFarm.1"
1,1,8,1,"ThompsonFarm","TD1","",1,"notsummer","Spr","spring","1_8_1",8,"IMG_2100 3.jpg",1,1,"H",2,8097,508.985,85.014,0.7315,1.577,0.634,0.9545,57.824,69.421,23.2045,4.83997044188578,1,8,64,0.4614239329476,66.6611764705882,15.9081308879437,0.045,0.047,"PlusMicr","ThompsonFarm.1"
1,2,1,1,"ThompsonFarm","TD2","",2,"summer","Sum","notspring","1_1_2",9,"IMG_2100 3.jpg",1,2,"A",2,24157,952.815,85,0.6645,1.537,0.652,0.913,74.248,88.094,29.3645,14.4398130127991,4,1,1,0.459525368206086,66.6666666666667,25.3532952356963,0.048,0.055,"PlusMicr","ThompsonFarm.1"
1,2,2,1,"ThompsonFarm","TD2","",2,"summer","Sum","notspring","1_2_2",10,"IMG_2100 3.jpg",1,2,"B",1,15754,821.252,85.002,0.294,2.244,0.446,0.663,87.489,98.996,38.412,9.41693149826708,4,2,4,0.440183728551292,66.6658823529412,19.1829060994676,0.046,0.054,"PlusMicr","ThompsonFarm.1"
1,2,3,1,"ThompsonFarm","TD2","",2,"summer","Sum","notspring","1_3_2",11,"IMG_2100 3.jpg",1,2,"C",2,10621,701.353,85,0.58,2.597,0.4175,0.883,84.0205,94.7265,33.2095,6.348687916916,4,3,9,0.446914815068186,66.6666666666667,15.1435867530331,0.068,0.084,"PlusMicr","ThompsonFarm.1"
1,2,4,1,"ThompsonFarm","TD2","",2,"summer","Sum","notspring","1_4_2",12,"IMG_2100 3.jpg",1,2,"D",1,31384,1300.604,85,0.233,1.184,0.845,0.728,79.989,92.606,32.5,18.7597421697102,4,4,16,0.451527340988322,66.6666666666667,24.1303271403133,0.078,0.111,"PlusMicr","ThompsonFarm.1"
1,2,5,1,"ThompsonFarm","TD2","",2,"summer","Sum","notspring","1_5_2",13,"IMG_2100 3.jpg",1,2,"E",1,7822,517.37,85.039,0.367,2.659,0.376,0.823,106.986,112.726,48.894,4.67558957594548,4,5,25,0.419670446676545,66.6513725490196,15.1187737982488,0.069,0.087,"PlusMicr","ThompsonFarm.1"
1,2,6,1,"ThompsonFarm","TD2","",2,"summer","Sum","notspring","1_6_2",14,"IMG_2100 3.jpg",1,2,"F",2,14651,689.352,85,0.749,1.6075,0.6265,0.941,77.334,90.8505,33.443,8.75761478869563,4,6,36,0.450585857583911,66.6666666666667,21.2532929475798,0.049,0.06,"PlusMicr","ThompsonFarm.1"
1,2,7,1,"ThompsonFarm","TD2","",2,"summer","Sum","notspring","1_7_2",15,"IMG_2100 3.jpg",1,2,"G",2,7871,752.891,87.3625,0.42,1.76,0.6135,0.8955,109.959,112.794,54.312,4.70487925751302,4,7,49,0.407103026365654,65.7401960784314,10.4543685606549,0.043,0.048,"PlusMicr","ThompsonFarm.1"
1,2,8,1,"ThompsonFarm","TD2","",2,"summer","Sum","notspring","1_8_2",16,"IMG_2100 3.jpg",1,2,"H",1,10047,522.399,85,0.463,2.469,0.405,0.813,78.446,90.033,32.911,6.00558021855334,4,8,64,0.447057947266498,66.6666666666667,19.2324257894828,0.043,0.054,"PlusMicr","ThompsonFarm.1"
